序号	PDF文件	类型	PDF行号	状态	对应说明	原题摘要
594	【华工包打听】2010大学物理（上）模拟题.pdf	calculation	5	重复跳过	光的衍射；已有两波长 \(440/660nm\) 第二次重合于 \(60^\circ\) 光栅题	25. 两种波长谱线第二次重合，求光栅常数
595	【华工包打听】2010大学物理（上）模拟题.pdf	calculation	5	题图缺失/重复跳过	热力学第一定律；本轮人工核对 page-5 且 pdfinfo 确认全卷仅 5 页，题干称“如图”但页面未给循环图；无法唯一确定状态路径，正文已有同类 \(T_A=300K\) 循环题	26. 理想气体循环过程，已知 \(T_A=300K\)，求 \(T_B,T_C\)、功和吸热代数和
596	【包打听分享】2003级大学物理（I）期末试卷及解答.pdf	audit-note	1-11	人工复核完成	旧台账 162-187 行乱码已修复为逐题记录；本轮逐页核对原卷、答案页与 physics.tex；发现并修正第 25 题波长/数值误录	2003 级大学物理 I 期末试卷及解答，不再依赖 alias 兜底
597	【包打听分享】2013级大学物理1期末复习纲要（4学分）.pdf	review	1	跳过	复习纲要；仅考试范围、重要规律和知识点清单，无完整独立题干	2013 级大学物理 I 复习纲要 4 学分
598	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	duplicate-section	1-12,17-23	重复/资料跳过	合集前段为已按单独 PDF 处理的大物 I 历年试卷和答案；页脚第 17 页为复习纲要	仅 2010级大学物理 II A 卷作为本轮新题源逐题处理
599	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	13	已写入	静电场；连续带电体积分；答案 A	1. 长 \(2L\)、总电荷 \(q\) 均匀带电细杆，求延长线上距端点 \(L\) 处场强 \(q/(12\pi\varepsilon_0L^2)\)
600	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	13	重复/同类跳过	静电场；静电力做功路径无关，已有电势与做功同类题；答案 D	2. 两点电荷与矩形路径，单位正电荷从 \(C\) 到 \(F\) 的电场力做功
601	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	13	重复/同类跳过	电容与电场力；已有平行板电容器电场能和电场压强同类题；答案 B	3. 面积 \(S\) 平行板带 \(\pm q\)，求两板间相互作用力
602	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	13	重复/同类跳过	磁场对线圈力矩；已有磁矩 \(m=IS\) 与最大力矩例题；答案 C	4. 两线圈面积和电流均成 2 倍，比较最大磁力矩
603	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	14	重复/同类跳过	电磁感应；已有长直螺线管自感和磁场能量例题；答案 C	5. 两长直螺线管半径和磁导率不同，串联后比较自感与磁能
604	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	14	重复/同类跳过	狭义相对论；已有长度收缩和本征长度例题；答案 C	6. 地球系 5 光年路程在宇航员系缩短为 3 光年，求 \(v=4c/5\)
605	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	14	已写入	早期量子论；光电效应与磁场圆周半径联用；答案 B	7. 红限波长 \(\lambda_0\)，光电子在磁场中半径 \(R\)，求光子能量
606	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	14	重复/同类跳过	量子力学基础；已有加速电子德布罗意波长例题；答案 D	8. 电子显微镜电子波长 \(\SI{0.04}{nm}\)，反求加速电压约 \(\SI{940}{V}\)
607	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	14	重复/同类跳过	量子力学基础；已有氢原子量子数取值范围系统讲解；答案 A	9. 氢原子 M 壳层可能量子数 \((n,l,m_l,m_s)\)
608	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	choice	14	重复跳过	量子力学基础；正文已有一维无限深势阱 \(0\) 到 \(a/4\) 概率精确同题；答案 B	10. 无限深势阱基态在 \(0\le x\le a/4\) 的概率
609	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	15	重复/同类跳过	静电场中的导体；已有大平板表面电荷分布和场强同类题	11. 带正电金属板移近中性金属板，求 \(U_{AB}=Qd/(2\varepsilon_0S)\)
610	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	15	重复/同类跳过	电容器与介质；已有接电源插入电介质时能量变化同类讲解	12. 接在电路中的平板电容器填满介质后，电场能量为原来的 \(\varepsilon_r\) 倍
611	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	15	重复/同类跳过	磁介质与安培环路定理；已有同轴电缆/圆柱分段磁场同类题	13. 同轴电缆内导体均匀载流，求 \(r<R_1\) 处 \(B=\mu_0Ir/(2\pi R_1^2)\)
612	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	15	重复/同类跳过	磁场中的带电粒子；已有霍耳效应方向判断讲解	14. 矩形金属条通电置于磁场中，判断负电子积累在上侧
613	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	15	重复/同类跳过	磁矩与磁场力矩；已有线圈磁矩势能和力矩做功同类题	15. 圆线圈磁矩由同向转为反向，外力做功 \(1.256\times10^{-3}J\)
614	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	15	重复/同类跳过	载流导线受力；已有弧形导线受力等效端点弦线同类题	16. \(1/4\) 圆弧载流导线在匀强磁场中受力大小 \(2BIR\)
615	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	15	已写入	电磁感应；小环 \(r\ll R\)，用大环中心近似均匀磁场求磁通变化	17. 大圆环电流 \(I=t\)，中心小圆环感应电动势 \(\mu_0\pi r^2/(2R)\)
616	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	16	重复/同类跳过	麦克斯韦方程组；已有电容器位移电流与磁场例题	18. 圆板电容器放电 \(E=E_0e^{-t}\)，位移电流大小 \(\pi R^2\varepsilon_0E_0e^{-t}\)
617	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	16	重复/同类跳过	早期量子论；已有康普顿散射波长改变量例题	19. 康普顿散射角 \(90^\circ\) 与 \(60^\circ\) 的 \(\Delta\lambda\) 比为 2
618	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	blank	16	重复/同类跳过	量子力学基础；已有不确定关系数值估算同类题	20. 电子限制在 \(\Delta x=\SI{0.05}{nm}\) 内，估算 \(\Delta p_x=1.33\times10^{-23}kg\,m/s\)
619	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	calculation	16	已写入	静电场；非均匀球对称电荷分布，高斯定理和球外电势	21. \(\rho=qr/(\pi R^4)\) 带电球体，求球内外场强和球外电势
620	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	calculation	16	已写入	稳恒磁场；把无限长载流平板拆成平行长直电流条积分	22. 宽 \(a\)、线电流密度 \(\delta\) 的无限长载流平板，外点 \(B=\mu_0\delta\ln((a+b)/b)/(2\pi)\)
621	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	calculation	16	已写入	电磁感应；动生电动势，用辅助弦线和端电压符号校验	23. 长直导线旁半圆导体平移，求 \(\mathcal{E}\) 方向 \(N\to M\) 与 \(U_M-U_N\)
622	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	calculation	16	重复/同类跳过	狭义相对论；已有相对论总能量和动能例题	24. 电子 \(v=0.6c\)，总能量 \(1.25E_0\)，动能 \(0.25E_0\)
623	【包打听分享】2013级用~大学物理近五年试卷综合.pdf	calculation	16	已写入	早期量子论；氢原子吸收光子到 \(n=4\) 后最多谱线数	25. 基态氢原子吸收 \(\SI{12.75}{eV}\) 光子，激发到 \(n=4\)，最多 6 条谱线
